speed_kmh,ambient_temp_c,soc_percent,road_slope_pct,hvac_power_kw,consumption_wh_per_km,remaining_range_km
24.1,6.9,33.8,3.03,1.83,270.9,23.2
28.5,32.8,21.8,1.32,2.38,256.0,17.7
109.8,22.9,36.5,0.18,0.0,286.9,25.2
27.9,16.9,33.6,-1.32,0.0,132.5,55.1
78.7,-3.0,67.4,-0.04,4.2,272.0,39.8
41.1,-3.0,95.9,3.28,4.45,322.0,47.0
94.4,-7.4,71.7,1.74,4.5,323.5,31.6
82.9,29.0,93.4,0.41,1.39,249.8,80.7
51.3,17.1,80.6,1.85,0.0,204.3,82.6
51.4,21.9,75.5,1.09,0.0,193.1,82.8
46.0,-9.1,47.3,0.79,4.5,279.8,23.1
87.9,33.6,39.2,1.96,2.25,291.7,29.0
39.5,27.5,86.2,1.03,1.2,208.8,92.4
120.0,-0.4,91.5,1.72,3.3,350.0,42.9
37.9,-1.8,50.7,0.32,3.71,263.9,29.9
42.0,-1.7,10.8,-0.51,3.5,241.2,7.2
38.7,3.7,81.3,-1.1,2.62,213.3,72.2
36.5,13.6,35.7,-1.33,0.0,139.9,52.1
86.7,9.4,10.9,-3.21,0.88,196.2,11.2
84.2,3.1,82.4,-1.82,2.58,232.6,65.1
83.6,17.5,56.6,-1.88,0.0,200.1,60.1
56.1,-3.7,71.7,-1.01,4.39,246.1,44.1
89.8,3.1,92.3,3.12,3.03,321.0,51.7
69.2,6.5,58.7,-0.32,2.16,229.3,48.5
99.4,10.5,55.3,0.48,0.85,276.5,40.9
49.2,25.3,36.2,0.55,0.51,192.5,42.9
31.1,-1.0,37.5,3.18,4.13,335.3,18.3
43.7,13.1,81.7,-1.15,0.0,150.2,109.6
80.2,16.7,50.4,-0.45,0.0,215.3,50.4
24.2,-7.9,24.7,-0.21,4.5,332.4,10.6
49.3,17.3,18.5,2.27,0.0,208.2,19.8
58.2,-2.3,52.6,2.69,4.5,303.6,27.4
104.4,-7.1,51.8,0.95,4.5,329.1,22.4
94.9,32.7,68.8,2.47,2.46,313.8,44.6
39.7,33.5,52.4,0.36,2.29,226.2,49.8
52.2,26.4,22.9,-0.35,0.8,187.9,28.9
104.7,3.7,55.7,2.36,2.6,332.5,29.7
102.2,-5.6,91.6,0.98,4.5,325.4,42.4
74.8,20.8,24.3,-1.47,0.0,190.2,27.1
108.2,9.8,72.1,1.99,0.92,318.9,43.1
95.9,-4.5,63.4,-0.42,4.5,293.8,33.3
98.9,12.3,77.4,-0.66,0.0,249.6,64.0
24.7,-8.5,23.6,1.79,4.5,350.0,8.7
107.8,30.9,94.7,-0.18,1.9,294.4,72.2
83.1,1.6,65.9,0.78,3.29,278.6,41.2
103.3,19.8,86.2,1.32,0.0,289.1,64.3
55.5,4.0,32.2,-1.57,2.27,199.7,28.6
51.7,13.4,76.5,0.77,0.0,188.7,86.2
53.7,14.6,80.3,2.7,0.0,220.3,78.9
42.1,-1.7,45.8,-1.91,3.64,223.5,33.4
25.0,33.6,44.6,0.9,2.5,263.5,36.8
79.7,24.9,69.2,-1.66,0.9,207.4,74.5
38.8,32.3,18.4,2.04,2.01,244.7,16.9
25.3,30.3,76.2,2.02,1.87,254.5,62.7
